protein,abundance
P41159,59.936474167446924
P01308,73.61019970742282
P37231,51.56728103188478
Q15848,82.77045918836579
P05231,61.92820187563757
P01375,54.25080080588649
Q12778,49.78236847499284
P35568,53.03794920531834
Q96EB6,28.561443117307626
P14672,30.047069641622727
P31749,31.128521180072923
P01275,33.38473197400645
P05019,21.3877697519333
P01584,36.29752392153697
O60674,39.93022254900693
P28482,68.54067626414226
P42345,27.183012584403404
P29474,59.38464833762525
Q9HAV5,29.418998366060016
O14543,56.04020603913593
P40763,33.79923445072327
P36897,27.94068135008726
P15692,36.882124881398255
Q16665,16.109553581669793
P50416,21.3912050509973
P15090,47.33800399163856
P28845,27.287126112029092
P12955,21.397584638474335
P42336,31.47713689240994
Q9UBQ7,84.32454390215324
P02649,51.49892522902577
P16671,42.12277674122488
P33992,39.42539571063658
P09016,95.3779522228334
P35558,52.20885569727059
Q9UBK2,31.766518423481138
P35240,61.675228485302
O60760,20.792030390948867
O00215,34.7534301857619
Q14126,53.84169302195892
