gene,expression
LEP,90.95827029482068
INS,111.88770454429036
PPARG,125.43023916044588
ADIPOQ,80.24876729766915
IL6,110.85415880843313
TNF,110.01191172458968
FOXO1,81.81865162092602
IRS1,112.51348998610241
SIRT1,104.09046690294902
GLUT4,109.75572683081903
AKT1,85.50531421352301
GCG,102.25204174557076
IGF1,74.42682168801514
IL1B,65.84513188700424
JAK2,102.11242639791625
MAPK1,116.50896410141965
MTOR,103.7940522139762
NOS3,99.04830904083781
RETN,97.1869881991769
SOCS3,85.86151912835402
STAT3,96.67208644307041
TGFBR1,106.32526702396666
VEGFA,93.47166650799058
HIF1A,111.25880280753665
CPT1A,102.93962550796904
FABP4,104.7546912666011
HSD11B1,113.3299413032644
PDX1,92.09866851017514
PIK3CA,109.89070879280428
FTO,94.20284924122039
APOE,105.0927172572826
CD36,90.31342974045147
HNF4A,86.33944265402901
G6PC,101.3779711847274
SLC2A2,71.72199921968324
UCP1,95.55598834736678
UCP2,75.9043449158623
UCP3,111.68851051470412
SREBF1,115.7516589416337
NR3C1,87.0407316786879
POMC,106.42469443710245
LEPR,113.48703570531238
MC4R,113.53703833752675
NR0B2,103.21676250957462
ANGPTL4,111.01457013342245
APOA5,90.26003032119408
LPIN1,101.2468369848502
CIDEA,92.99344889813835
PLIN1,88.99318039321955
FASN,100.5409508720444
G6PD,105.21295564237111
IL10,117.4526315193248
GCK,103.97733290948331
PTEN,109.62895802442327
RAPTOR,109.79924759874307
CTNNB1,140.3130154854544
IGF2,72.84951395091132
MLXIPL,89.68099199744233
SLC27A1,122.1108407873212
HNF1A,94.71980387719789
KCNJ11,113.28704706402578
ABCA1,103.45014285644255
ABCG1,131.57803601812014
ANGPTL3,83.30418359404432
DGAT1,118.32700828778219
DGAT2,126.24371957908748
ACACA,84.78371684248
PRKAA1,111.7430536537202
GYS1,85.51753021256417
PRKAB2,100.45242358802687
